ans	Most recent answer
cdflib.setVarSparseRecords	Specify how variable handles sparse records
cdfread	Read data from Common Data Format (CDF) file
close	Close file after writing video data
closeFile	Close FITS file
copyHDU	Copy current HDU from one file to another
createFile	Create FITS file
createImg	Create FITS image
createTbl	Create new ASCII or binary table extension
deleteCol	Delete column from table
deleteFile	Delete FITS file
deleteHDU	Delete current HDU in FITS file
deleteKey	Delete key by name
deleteRecord	Delete key by record number
deleteRows	Delete rows from table
delimitedTextImportOptions	Import options object for delimited text
detectImportOptions	Create import options based on file content
fileMode	Get I/O mode of FITS file
fileName	Get name of FITS file
fileread	Read contents of file as text
fitsdisp	Display FITS metadata
fitsinfo	Information about FITS file
fitsread	Read data from FITS file
fitswrite	Write image to FITS file
fixedWidthImportOptions	Import options object for fixed-width text files
getAColParms	Get ASCII table information
getaudiodata	Store recorded audio signal in numeric array
getBColParms	Get binary table information
getColName	Get table column name
getColType	Get scaled column data type, repeat value, width
getConstantValue	Get numeric value of named constant
getEqColType	Get column data type, repeat value, width
getFileFormats	File formats that VideoReader supports
getHdrSpace	Get number of keywords in header
getHDUnum	Get number of current HDU in FITS file
getHDUtype	Get type of current HDU in FITS file
getImgSize	Get size of FITS image
getImgType	Get data type of FITS image
getNumCols	Get number of columns in table
getNumHDUs	Get total number of HDUs in FITS file
getNumRows	Get number of rows in table
getOpenFiles	Get list of open FITS files
getplayer	Create associated audioplayer object
getProfiles	Profiles and file formats that VideoWriter supports
getvaropts	Get variable import options
getVersion	Get revision number of the CFITSIO library
h5create	Create HDF5 dataset
h5disp	Display contents of HDF5 file
h5info	Information about HDF5 file
h5read	Read data from HDF5 dataset
h5readatt	Read attribute from HDF5 file
h5write	Write data to HDF5 dataset
h5writeatt	Write attribute to HDF5 file
hasFrame	Determine if video frame is available to read
hdfan	Gateway to HDF multifile annotation (AN) interface
hdfdf24	Gateway to HDF 24-bit raster image (DF24) interface
hdfdfr8	Gateway to HDF 8-bit raster image (DFR8) interface
hdfh	Gateway to HDF H interface
hdfhd	Gateway to HDF HD interface
hdfhe	Gateway to HDF HE interface
hdfhx	Gateway to HDF external data (HX) interface
hdfinfo	Information about HDF4 or HDF-EOS2 file
hdfml	Utilities for working with MATLAB HDF gateway functions
hdfpt	Gateway to HDF-EOS Point interface
hdfread	Read data from HDF4 or HDF-EOS2 file
hdfv	Gateway to HDF Vgroup (V) interface
hdfvf	Gateway to VF functions in HDF Vdata interface
hdfvh	Gateway to VH functions in HDF Vdata interface
hdfvs	Gateway to VS functions in HDF Vdata interface
htmlImportOptions	Import options object for HTML files (Since R2021b)
imfinfo	Information about graphics file
imgCompress	Compress HDU from one file into another
importdata	Load data from file
imread	Read image from graphics file
imwrite	Write image to graphics file
insertATbl	Insert ASCII table after current HDU
insertBTbl	Insert binary table after current HDU
insertCol	Insert column into table
insertImg	Insert FITS image after current image
insertRows	Insert rows into table
isCompressedImg	Determine if current image is compressed
isplaying	Determine if playback is in progress
isrecording	Determine if recording is in progress
jsondecode	Decode JSON-formatted text
jsonencode	Create JSON-formatted text from structured MATLAB data
lin2mu	Convert linear audio signal to mu-law
matlab.io.hdf4.sd	Low-level access to HDF4 multifile scientific datasets (SD)
matlab.io.hdfeos.gd	Low-level access to HDF-EOS grid data
matlab.io.hdfeos.sw	Low-level access to HDF-EOS swath files
matlab.io.xml.dom.Attr	Attribute of XML element (Since R2021a)
matlab.io.xml.dom.CDATASection	CDATA section (Since R2021a)
matlab.io.xml.dom.Comment	Comment in XML document (Since R2021a)
matlab.io.xml.dom.Document	XML Document (Since R2021a)
matlab.io.xml.dom.DocumentConfiguration	Specify XML document normalization options (Since R2022a)
matlab.io.xml.dom.DocumentFragment	Group of document nodes (Since R2021a)
matlab.io.xml.dom.DocumentType	Document type (Since R2021a)
matlab.io.xml.dom.DOMWriter	Writer that serializes an XML document (Since R2021a)
matlab.io.xml.dom.Element	Element of XML document (Since R2021a)
matlab.io.xml.dom.Entity	Entity defined by document type (Since R2021a)
matlab.io.xml.dom.EntityResolver	Abstract base class for entity resolvers (Since R2021a)
matlab.io.xml.dom.FileWriter	Writer that creates a text file (Since R2021a)
matlab.io.xml.dom.Locator	Location of element in XML file (Since R2021a)
matlab.io.xml.dom.NamedNodeMap	Set of document nodes with names (Since R2021a)
matlab.io.xml.dom.NodeList	List of document nodes (Since R2021a)
matlab.io.xml.dom.Notation	Notation in document type definition (Since R2021a)
matlab.io.xml.dom.ParseError	Specifies XML markup parse error (Since R2021b)
matlab.io.xml.dom.ParseErrorHandler	Abstract base class for parse error handlers (Since R2021b)
matlab.io.xml.dom.ParseErrorLocator	Specifies location of parse error (Since R2021b)
matlab.io.xml.dom.ParseErrorSeverity	Enumeration class denoting XML markup parse error severity (Since R2021b)
matlab.io.xml.dom.Parser	XML markup parser (Since R2021a)
matlab.io.xml.dom.ParserConfiguration	XML parser options (Since R2021a)
matlab.io.xml.dom.ProcessingInstruction	XML processing instruction (Since R2021a)
matlab.io.xml.dom.ResourceIdentifier	XML resource identifier (Since R2021a)
matlab.io.xml.dom.ResourceIdentifierType	XML resource identifier type (Since R2021a)
matlab.io.xml.dom.Text	Text in an XML document (Since R2021a)
matlab.io.xml.dom.TypeInfo	Schema type information (Since R2021a)
matlab.io.xml.dom.WriterConfiguration	XML DOM writer options (Since R2021a)
matlab.io.xml.transform.CompiledStylesheet	Compiled stylesheet (Since R2021a)
matlab.io.xml.transform.ResultDocument	Store transformation result as document (Since R2021a)
matlab.io.xml.transform.ResultFile	Store transformation result as file (Since R2021a)
matlab.io.xml.transform.ResultString	Store transformation result as string (Since R2021a)
matlab.io.xml.transform.SourceDocument	XML source document for transformation (Since R2021a)
matlab.io.xml.transform.SourceFile	XML source file for transformation (Since R2021a)
matlab.io.xml.transform.SourceString	XML source string for transformation (Since R2021a)
matlab.io.xml.transform.StylesheetSourceDocument	Stylesheet source document for transformation (Since R2021a)
matlab.io.xml.transform.StylesheetSourceFile	Stylesheet source file for transformation (Since R2021a)
matlab.io.xml.transform.StylesheetSourceString	XSL source string for transformation (Since R2021a)
matlab.io.xml.transform.Tracer	Trace execution of stylesheet (Since R2022a)
matlab.io.xml.transform.Transformer	XML document transformer (Since R2021a)
matlab.io.xml.xpath.CompiledExpression	Compiled XPath expression (Since R2021a)
